video_url,author,comment,likes,time
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@pierrebernard7665,Terminal capitalism.,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@The3Sag3,We need to stop supporting these industries. Its full of greed.,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@StupidRockyFan19,Fuck! I wanted to buy a regular iPad for momma if i had enough money!,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@s1ngularities,apple was waiting for the valve box to release                                        to make their deals look worse then hike it back to the original designated price once the damage has been done,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@shreddedOrphans,in partnership with channels like u that constantly boast about how good ai is,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@TakeBackTheFlag,Oh no heaven forbid the CEO and other executives couldn’t take a pay cut.,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@JeffreyHamlin,Is this an AI or Tariffs issue?,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@connectionism3754,Horrible decision,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@k91pl,"“Temporary,” oh Marcus, you’re so pure.",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@ChillTyler,"We all know Apple isn’t lowering prices when the memory shortage is over. Once they raise them, they usually stay there forever...",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@seanmonts2159,The warning is that in two years M1 will be obsolete and an upgrade will be mandatory if you want to stay in the ecosystem. 🤦🏾‍♂️,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Ashvin55,"Unattainable now in India, they have huge margins, yet they do this.",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@OperatorPuski,No one cares,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@edwinschaap5532,Just stop using all this AI slop that’s nowhere.,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@sssilver_wing,I miss when the MacBook Neo was 500 dollars even tho it's so under powered compared to the Dell XPS 13,1,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@shadfallfan,"I've never heard of a ""temporary price increase"" for an end use product that didn't turn into permanent price increases.",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Soundwaiv,"I like how one of the price increases instead of saying the name just says 



H",2,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@WhatIsThis-zq4hk,200 for an apple tv is a joke,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@OnlyPureSounds,Just dont release anymore for a bit untill its stable,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Aingeluz,"The prices will go down if there's no demand.
People are smart to be mindful of their purchases nowadays.",0,5 hari yang lalu
